LeidenCluster,n_structures,helix_mean,helix_std,sheet_mean,sheet_std,loop_mean,loop_std
LC00,710,56.406637962975985,42.33959163423761,7.5307175219147044,18.744839899867596,36.062644515109305,37.86873839613646
LC01,410,94.85898180410375,14.69813502146763,0.0,0.0,5.141018195896245,14.698135021467634
LC02,404,84.80754220380022,15.54436835089866,4.411001984167389,5.7168078891020775,10.7814558120324,16.64321053874928
LC03,250,98.4,12.572680269402642,0.0,0.0,1.6,12.572680269402644
LC04,9,100.0,0.0,0.0,0.0,0.0,0.0
LC05,189,53.252389879374,31.565488547625588,5.792620078334364,13.771052317424378,40.954990042291634,31.640125894960683
LC06,200,61.95039682539683,20.034132355779146,13.866666666666667,23.454911781021462,24.18293650793651,22.176031937952338
LC07,99,96.2000962000962,8.594203571956738,0.0,0.0,3.7999037999038,8.594203571956738
LC08,66,43.237734487734485,41.33721781100975,0.0,0.0,56.762265512265515,41.33721781100975
LC09,140,74.62159863945578,34.241635679300366,0.35714285714285715,2.9773036630057037,25.02125850340136,33.847525157221426
LC10,134,61.568052594171995,33.8491669059214,0.0,0.0,38.431947405828005,33.84916690592141
LC11,124,81.84715821812595,35.165579335920505,0.0,0.0,18.152841781874038,35.16557933592049
LC12,58,75.11494252873564,34.307209258574915,1.7241379310344827,9.718080240036679,23.160919540229887,31.74688156037105
LC13,52,31.08974358974359,8.103931476733235,0.0,0.0,68.91025641025641,8.103931476733234
LC14,24,95.83333333333333,20.412414523193153,0.0,0.0,4.166666666666667,20.412414523193153
LC15,82,97.5609756097561,15.52067323932396,0.0,0.0,2.4390243902439024,15.52067323932396
LC16,57,88.66294524189261,25.297474615068225,1.0499734183944711,4.7865240398954025,10.28708133971292,23.925805163822908
LC17,59,91.49717514124293,24.08218470643974,0.0,0.0,8.502824858757062,24.082184706439737
LC18,54,96.29629629629629,19.062587709298622,0.0,0.0,3.7037037037037037,19.062587709298626
LC19,72,90.99537037037038,23.32940899631932,0.0,0.0,9.00462962962963,23.32940899631932
LC20,77,7.359307359307359,21.880441093312378,0.0,0.0,92.64069264069263,21.880441093312374
LC21,83,89.12363740676993,24.5104266049922,0.0,0.0,10.876362593230063,24.510426604992205
LC22,51,96.07843137254902,19.603921176392134,0.0,0.0,3.9215686274509802,19.603921176392134
LC23,76,72.49373433583959,35.335332884939824,20.86466165413534,30.289279068062726,6.641604010025063,20.95352013307786
LC24,69,51.799581256103,36.406334168488264,1.6200466200466201,4.566213788502042,46.58037212385038,35.138745860692396
LC25,85,84.9607843137255,26.19243053569002,0.0,0.0,15.03921568627451,26.192430535690015
LC26,75,74.82222222222222,27.010137866133658,0.0,0.0,25.17777777777778,27.01013786613366
LC27,79,89.34599156118144,25.89621203629959,0.0,0.0,10.654008438818567,25.896212036299588
LC28,34,5.882352941176471,23.883257361061283,41.445001077354014,32.18622369618537,52.672645981469515,33.22648534788325
LC29,75,55.78854108854109,35.15353501442014,0.8,6.928203230275509,43.41145891145891,34.54421977034882
LC30,45,76.44973544973546,30.818969151656656,0.0,0.0,23.55026455026455,30.818969151656653
LC31,69,85.70508396595352,29.83647066244822,0.0,0.0,14.29491603404647,29.83647066244822
LC32,57,17.18045112781955,31.714894399842695,6.439710387078808,17.460441072256803,76.37983848510163,33.056989786533464
LC33,39,100.0,0.0,0.0,0.0,0.0,0.0
LC34,40,78.125,34.368929145352936,1.25,7.905694150420947,20.625,32.30174573885717
LC35,45,80.80952380952381,21.501163718008673,0.0,0.0,19.19047619047619,21.501163718008677
LC36,37,53.96396396396396,40.28515516986864,0.0,0.0,46.03603603603604,40.28515516986864
LC37,33,21.464646464646467,36.20628968090921,49.08008658008658,42.94554449894498,29.455266955266953,32.69869152354187
LC38,50,62.36666666666667,34.10350059501909,0.0,0.0,37.63333333333333,34.103500595019085
LC39,23,24.63768115942029,42.89685927655671,0.0,0.0,75.3623188405797,42.89685927655671
LC40,48,16.65433320764203,27.03656350827015,23.84881356388709,32.886883165169486,59.496853228470876,34.78016244676353
LC41,35,66.4625850340136,33.88460431259174,0.0,0.0,33.53741496598639,33.88460431259175
LC42,28,67.96366332080618,33.96481146527293,0.0,0.0,32.03633667919382,33.96481146527294
LC43,24,74.77678571428571,37.09827566352567,0.0,0.0,25.22321428571429,37.09827566352566
LC44,12,44.44444444444445,43.42259648526197,0.0,0.0,55.555555555555564,43.42259648526197
LC45,18,83.14814814814815,25.093868798391345,6.481481481481482,19.07920272865391,10.370370370370372,16.15443802268011
LC46,12,40.0,45.1260859854213,0.0,0.0,60.0,45.1260859854213
LC47,12,44.44444444444445,43.42259648526197,0.0,0.0,55.555555555555564,43.42259648526197
LC48,12,52.083333333333336,44.1137475995038,0.0,0.0,47.916666666666664,44.1137475995038
LC49,8,12.5,13.36306209562122,0.0,0.0,87.5,13.36306209562122
LC50,12,41.666666666666664,44.38126822992973,0.0,0.0,58.333333333333336,44.38126822992973
LC51,12,41.666666666666664,44.38126822992973,0.0,0.0,58.333333333333336,44.38126822992973
LC52,12,40.0,45.1260859854213,0.0,0.0,60.0,45.1260859854213
LC53,12,40.0,45.1260859854213,0.0,0.0,60.0,45.1260859854213
LC54,12,41.666666666666664,44.38126822992973,0.0,0.0,58.333333333333336,44.38126822992973
LC55,8,75.0,26.72612419124244,0.0,0.0,25.0,26.72612419124244
LC56,12,44.44444444444445,43.42259648526197,0.0,0.0,55.555555555555564,43.42259648526197
LC57,15,11.111111111111112,19.585655046433438,3.555555555555556,9.71553057694403,85.33333333333333,19.83263304085802
LC58,11,100.0,0.0,0.0,0.0,0.0,0.0
LC59,12,31.666666666666668,42.175678759065384,0.0,0.0,68.33333333333333,42.175678759065384
LC60,12,41.666666666666664,44.38126822992973,0.0,0.0,58.333333333333336,44.38126822992973
LC61,7,100.0,0.0,0.0,0.0,0.0,0.0
